date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
1994-08-04,sh.000001,558.6900,592.9800,522.9800,562.7700,1757599400,10538590208.0000,3,0.190263,1,7.608329,0.000000,0.000000,0.000000,0.000000,0
1994-08-05,sh.000001,579.4700,683.0400,582.1100,683.0400,1773058400,10436576256.0000,3,0.191937,1,21.371070,0.000000,0.000000,0.000000,0.000000,0
1994-08-08,sh.000001,720.4800,754.6700,671.6700,711.8000,1587678200,11441736704.0000,3,0.171631,1,4.210589,0.000000,0.000000,0.000000,0.000000,0
1994-08-09,sh.000001,715.5400,705.0800,608.6800,621.5800,962049900,6787234816.0000,3,0.103096,1,-12.674910,0.000000,0.000000,0.000000,0.000000,0
1994-08-10,sh.000001,619.3400,739.6600,597.2600,739.6600,1428386900,9542152192.0000,3,0.153070,1,18.996740,0.000000,0.000000,0.000000,0.000000,0
1994-08-11,sh.000001,765.3200,768.0800,684.5300,689.3100,1692973800,12471932928.0000,3,0.180784,1,-6.807178,0.000000,0.000000,0.000000,0.000000,0
1994-08-12,sh.000001,676.0700,731.0200,675.2800,689.6600,725485600,4955084288.0000,3,0.077429,1,0.050772,0.000000,0.000000,0.000000,0.000000,0
1994-08-15,sh.000001,671.1000,691.2200,654.2200,665.8800,455125800,3055076352.0000,3,0.048523,1,-3.448071,0.000000,0.000000,0.000000,0.000000,0
1994-08-16,sh.000001,670.0000,713.9000,668.0000,693.0100,720002800,4355285504.0000,3,0.076763,1,4.074308,0.000000,0.000000,0.000000,0.000000,0
1994-08-17,sh.000001,703.8800,725.0400,693.0200,725.0400,541875700,4597869568.0000,3,0.057772,1,4.621862,0.000000,0.000000,0.000000,0.000000,0
